Id,Label,timeset,idlattes,componentnumber,N,collaborationrank,producaobibliografica,artigoemperiodico,livro,capitulodelivro,trabalhoemcongresso,resumoexpandido,resumo,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Nome
0,"[B, L, A]",,0047274636775859,0,[A],1.53111,90,36,0,1,5,29,19,12,24,9,0.228205,0.322102,0.066346,Bruno Leite dos Anjos
1,"[C, S, P]",,0120736228044122,0,,1.30923,71,34,0,0,0,2,35,6,23,8,0.251412,0.322512,0.002487,Clesio Soldateli Paim
2,"[M, B, S]",,0130850513274456,0,,0.38268,16,9,1,0,0,2,4,3,4,9,0.197778,0.257174,0.000716,Michele Bulhosa de Souza
3,"[C, I, F]",,0147193667632049,1,,0.15,82,3,0,0,0,7,72,0,0,0,0,0,0,Claudete Izabel Funguetto
4,"[G, A, W]",,0319287015319197,0,[A],1.8976,178,29,0,0,2,4,143,4,137,10,0.217073,0.280021,0.002705,Giulia Alessandra Wiggers
5,"[P, V, I]",,0390762757228334,0,,0.321239,48,18,0,1,13,3,13,3,3,8,0.220844,0.267777,0.005896,Phillip Vilanova Ilha
7,"[F, M, P]",,0454207116065740,0,,1.87333,135,28,0,0,0,1,106,5,137,9,0.226463,0.294881,0.010135,Franck Maciel Pecanha
8,"[A, J, D]",,0473681435809042,2,[A],1,37,7,1,0,7,18,4,1,1,1,1,1,0,Ailton Jesus Dinardi
9,"[A, S, K, T, N]",,0527775082585913,0,[A],0.509672,55,15,0,1,0,0,39,5,6,9,0.239247,0.308405,0.045728,Alessandra Sayuri Kikuchi Tamajusuku Neis
10,"[G, D, S]",,0540637395800217,0,,1.1632,105,32,0,0,3,25,45,6,18,9,0.206497,0.286495,0.022697,Graciela Dutra Sehnem
11,"[D, V, D]",,0608415543843353,3,,0.468074,22,7,0,0,0,3,12,3,3,1,1,1,0.000107,Daniel Ventura Dias
12,"[D, A, N, M]",,0731595522786356,4,[A],1,95,38,0,0,0,1,56,1,1,1,1,1,0,Debora Alves Nunes Mario
13,"[E, L, A]",,0905525857714574,5,[A],0.15,10,0,0,0,4,5,1,0,0,0,0,0,0,Emanuele Lopes Ambros
14,"[A, P, S, S]",,0945382220038723,6,[A],0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,Aleksandra Pecanha Sharapin Sagrilo
15,"[G, R, C]",,1036421275856987,7,,0.15,19,7,1,2,9,0,0,0,0,0,0,0,0,Gustavo Ruiz Chiesa
16,"[B, S, S]",,1039578227394206,0,,1.81073,126,37,0,1,23,37,28,3,76,9,0.214976,0.269855,0.004271,Bruna Sodre Simon
17,"[J, P, E, P]",,1171304952099087,0,,0.82088,82,31,0,6,0,9,36,8,30,9,0.223618,0.293076,0.006056,Joao Paulo da Exaltacao Pascon
18,"[D, G, B, B]",,1274611347204473,8,,0.15,17,4,0,0,0,10,3,0,0,0,0,0,0,Dioni Glei Bonini Bitencourt
19,"[V, L, G, B]",,1334990398175859,9,,0.748148,35,5,0,1,20,4,5,2,20,1,1,1,0,Vera Lucia Gainssa Balinhas
20,"[I, L]",,1405850939282996,0,,0.657906,53,11,0,1,0,6,35,7,33,8,0.272171,0.34271,0.125376,Irina Lubeck
21,"[P, S, J]",,1407091257163545,0,,0.84537,106,25,0,0,4,29,48,2,7,10,0.186975,0.234782,0.009446,Paulo de Souza Junior
22,"[J, C]",,1554363972064498,0,,0.399041,108,31,1,5,21,14,36,2,4,7,0.233596,0.273836,0.007605,Jaqueline Copetti
23,"[G, T, B]",,1594473413042423,0,,1.56815,63,18,1,4,0,12,28,2,75,11,0.163603,0.194654,0,Giovani Taffarel Bergamin
24,"[C, T, A]",,1642728904660751,10,[A],0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,Carla Tourem Argemi
25,"[C, F, S, A]",,1687582353682831,0,[A],1.152,57,18,0,0,3,14,22,1,31,12,0.129549,0.154114,0,Cynthia Fontella Sant'Anna
26,"[M, L, A, M]",,1689306155948159,0,[A],1.1291,56,22,0,1,1,2,30,8,36,9,0.224747,0.300566,0.01628,Maria Ligia de Arruda Mistieri
27,"[M, F, C]",,1732554531115089,0,,0.469444,17,7,0,0,1,0,9,3,9,8,0.229381,0.279949,0.010852,Marta Fioravanti Carpes
28,"[E, A, B]",,1814676097078820,0,[A],0.59742,56,12,0,1,0,2,41,5,7,7,0.255014,0.314821,0.012303,Eduardo Andre Bender
29,"[J, F, P, R]",,1850160240664296,11,,0.15,104,28,0,0,1,1,74,0,0,0,0,0,0,Joao Felipe Peres Rezer
30,"[C, K, T]",,1887646413957746,0,,0.799463,39,19,0,2,0,8,10,2,4,11,0.158929,0.194503,0.009446,Carolina Kist Traesel
31,"[F, W, S, C]",,1934452177482144,0,,0.88491,92,52,0,0,0,1,39,8,19,9,0.262537,0.350914,0.06631,Francielli Weber Santos Cibin
32,"[M, J, S]",,1945811068525845,0,,0.870224,242,55,0,1,4,4,178,2,12,11,0.176587,0.214638,0.000054,Mateus Jose Sudano
