Id,Label,timeset,idlattes,collaborationrank,producaobibliografica,artigoemperiodico,livro,capitulodelivro,trabalhoemcongresso,resumoexpandido,resumo,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
0,Bruno Leite dos Anjos,,0047274636775859,1.53111,90,36,0,1,5,29,19,12,24,9,0.230047,0.330641,707.166667
1,Clesio Soldateli Paim,,0120736228044122,1.30923,71,34,0,0,0,2,35,6,23,8,0.247475,0.313569,23.663219
2,Michele Bulhosa de Souza,,0130850513274456,0.38268,16,9,1,0,0,2,4,3,4,9,0.19798,0.254426,7.211111
3,Claudete Izabel Funguetto,,0147193667632049,0.15,82,3,0,0,0,7,72,0,0,0,0,0,0
4,Giulia Alessandra Wiggers,,0319287015319197,1.8976,178,29,0,0,2,4,143,4,137,10,0.213508,0.271906,26.911369
5,Phillip Vilanova Ilha,,0390762757228334,0.321239,48,18,0,1,13,3,13,3,3,8,0.220225,0.265464,77.786255
7,Franck Maciel Pecanha,,0454207116065740,1.87333,135,28,0,0,0,1,106,5,137,9,0.222727,0.286605,102.080394
8,Ailton Jesus Dinardi,,0473681435809042,1,37,7,1,0,7,18,4,1,1,1,1,1,0
9,Alessandra Sayuri Kikuchi Tamajusuku Neis,,0527775082585913,0.509672,55,15,0,1,0,0,39,5,6,9,0.236715,0.302118,471
10,Graciela Dutra Sehnem,,0540637395800217,1.1632,105,32,0,0,3,25,45,6,18,9,0.206316,0.282754,233.59681
11,Daniel Ventura Dias,,0608415543843353,0.468074,22,7,0,0,0,3,12,3,3,1,1,1,2
12,Debora Alves Nunes Mario,,0731595522786356,1,95,38,0,0,0,1,56,1,1,1,1,1,0
13,Emanuele Lopes Ambros,,0905525857714574,0.15,10,0,0,0,4,5,1,0,0,0,0,0,0
14,Aleksandra Pecanha Sharapin Sagrilo,,0945382220038723,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Gustavo Ruiz Chiesa,,1036421275856987,0.15,19,7,1,2,9,0,0,0,0,0,0,0,0
16,Bruna Sodre Simon,,1039578227394206,1.81073,126,37,0,1,23,37,28,3,76,9,0.214442,0.267885,46.270891
17,Joao Paulo da Exaltacao Pascon,,1171304952099087,0.82088,82,31,0,6,0,9,36,8,30,9,0.225806,0.30428,99.166667
18,Dioni Glei Bonini Bitencourt,,1274611347204473,0.15,17,4,0,0,0,10,3,0,0,0,0,0,0
19,Vera Lucia Gainssa Balinhas,,1334990398175859,0.748148,35,5,0,1,20,4,5,2,20,1,1,1,0
20,Irina Lubeck,,1405850939282996,0.657906,53,11,0,1,0,6,35,7,33,8,0.273743,0.348141,1501
21,Paulo de Souza Junior,,1407091257163545,0.84537,106,25,0,0,4,29,48,2,7,10,0.1881,0.237127,97
22,Jaqueline Copetti,,1554363972064498,0.399041,108,31,1,5,21,14,36,2,4,7,0.23389,0.273178,97.283225
23,Giovani Taffarel Bergamin,,1594473413042423,1.56815,63,18,1,4,0,12,28,2,75,11,0.162252,0.191214,0
24,Carla Tourem Argemi,,1642728904660751,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Cynthia Fontella Sant'Anna,,1687582353682831,1.152,57,18,0,0,3,14,22,1,31,12,0.129288,0.152331,0
26,Maria Ligia de Arruda Mistieri,,1689306155948159,1.1291,56,22,0,1,1,2,30,8,36,9,0.226328,0.305981,146
27,Marta Fioravanti Carpes,,1732554531115089,0.469444,17,7,0,0,1,0,9,3,9,8,0.229508,0.27924,114.595458
28,Eduardo Andre Bender,,1814676097078820,0.59742,56,12,0,1,0,2,41,5,7,7,0.251928,0.307677,132.523776
29,Joao Felipe Peres Rezer,,1850160240664296,0.15,104,28,0,0,1,1,74,0,0,0,0,0,0
30,Carolina Kist Traesel,,1887646413957746,0.799463,39,19,0,2,0,8,10,2,4,11,0.159609,0.194736,97
31,Francielli Weber Santos Cibin,,1934452177482144,0.88491,92,52,0,0,0,1,39,8,19,9,0.257895,0.340213,679.656547
32,Mateus Jose Sudano,,1945811068525845,0.870224,242,55,0,1,4,4,178,2,12,11,0.174067,0.209374,0.5
33,Mara Regina Bonini Marzari,,2047536712039793,1,45,24,0,0,0,0,21,1,1,1,1,1,0
34,Rafael Roehrs,,2145471376587567,1.80443,111,22,5,5,6,0,73,4,39,9,0.248101,0.311642,93.877798
35,Diego Rossi Kleinubing,,2149739236717278,0.15,2,1,0,1,0,0,0,0,0,0,0,0,0
36,Fernando Passon Casagrande,,2227489875439617,0.230418,47,14,0,0,4,5,24,1,1,11,0.160131,0.194226,0
37,Odete Messa Torres,,2285888154281062,1.39785,146,16,0,9,0,1,120,5,13,8,0.222727,0.280892,205.377561
38,Leticia Silveira Cardoso,,2309155244128217,1.25071,171,56,0,1,10,44,60,2,33,11,0.14826,0.184087,97
39,Daniel Tassinari Felber,,2431890246253533,0.669026,16,1,0,0,1,0,14,2,6,9,0.20082,0.24817,71.971606
40,Natalia Sevilha Stofel,,2447361827796110,0.15,14,2,2,2,2,2,4,0,0,0,0,0,0
41,Nelson Francisco Serrao Junior,,2679717808067927,0.211119,98,4,0,1,0,0,93,1,1,10,0.181481,0.221433,0
42,Carlos Alexandre Oelke,,2680182934751808,0.15,56,21,1,0,6,7,21,0,0,0,0,0,0
43,Josefine Busanello,,2742168118237213,0.811181,66,27,1,3,0,26,9,3,13,10,0.173145,0.225016,192
44,Edward Frederico Castro Pessano,,2760002240063004,1.1901,67,21,13,11,10,0,12,8,32,8,0.276836,0.348992,577.104638
45,Paulo Emilio Botura Ferreira,,2811224657299026,0.15,66,7,0,0,0,16,43,0,0,0,0,0,0
46,Debora da Cruz Payao Pellegrini,,2834249723527323,1,40,15,2,0,2,10,11,1,1,1,1,1,0
47,Marcia Adriana Poll,,2897389126865192,0.944213,78,21,0,1,9,17,30,4,15,9,0.197581,0.256126,91.977618
48,Carla Beatriz Spohr,,3006889738861726,0.15,17,3,0,2,9,2,1,0,0,0,0,0,0
49,Lidiane Dal Bosco,,3050045681034940,0.15,14,11,0,0,0,1,2,0,0,0,0,0,0
50,Anelise Dumke,,3080414309796385,0.66036,31,4,0,0,0,3,24,6,15,8,0.236715,0.303559,270.135308
51,Maria Elisa Trost,,3189945818846211,0.672293,41,25,0,0,1,13,2,1,8,10,0.18738,0.230325,0
52,Renata Colbeich da Silva,,3247616718779567,0.15,19,1,0,2,1,7,8,0,0,0,0,0,0
53,Joao Cleber Theodoro de Andrade,,3268338503303216,0.348947,2,1,0,0,0,0,1,1,1,2,0.6,0.666667,0
54,Bruna Stamm,,3289557948187134,0.354649,64,18,0,0,8,19,19,6,10,9,0.221219,0.284333,315.954334
55,Fernando Silveira Mesquita,,3338405134728553,0.877056,75,25,0,1,0,0,49,2,12,10,0.206316,0.249044,40.463721
56,Lisiane Bajerski,,3371279926465248,0.634466,39,19,0,1,0,0,19,4,9,7,0.239609,0.28931,34.926311
57,Antonio Adolfo Mattos de Castro,,3488358978951622,0.419564,69,42,1,6,14,3,3,7,12,9,0.208511,0.283301,113.63635
58,Claudio Barzoni Crespo,,3971640516477035,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Juliano Goncalves Pereira,,3981501609402013,1,96,26,0,1,1,35,33,1,1,1,1,1,0
60,Fabiana Ernestina Barcellos da Silva,,3992443023418750,0.967849,67,22,0,0,3,0,42,7,19,8,0.289086,0.360726,473.035879
61,Eloa Ferreira Yamada,,4273636582098573,0.94772,99,8,0,0,8,1,82,6,17,9,0.209402,0.28041,89.78113
62,Amarilis Diaz de Carvalho,,4297260102377031,0.662269,22,7,0,0,0,5,10,1,5,11,0.158576,0.186573,0
63,Daiana Silva de Avila,,4355211015887363,1.55657,115,61,0,12,0,4,38,7,16,9,0.233333,0.315614,283.775745
64,Lucas Pitrez da Silva Mocellin,,4407288926136516,1,5,1,0,0,0,0,4,1,3,1,1,1,0
65,Favero Reisdorfer Paula,,4455461576886254,1.35336,92,22,0,1,0,7,62,9,30,8,0.284884,0.363448,300.552077
66,Eloa Maria dos Santos Chiquetti,,4480938481569672,1.93695,57,16,0,1,0,9,31,9,32,9,0.221219,0.309054,317.428861
