artigoEmPeriodico	 	2018		Acoustic radiation force impulse elastography of the eyes of brachycephalic dogs	ARQUIVO BRASILEIRO DE MEDICINA VETERINARIA E ZOOTECNIA	ABREU, T. G. M. ; FELICIANO, M. A. R. ; RENZO, R. ; KOBASHIGAWA, K. K. ; CHACALTANA, F. D. Y. C. ; CRIVELARO, R. M. ; ALDROVANI, M. ; MARONEZI, M. C. ; Thiesen, R. ; LAUS, J. L.		
artigoEmPeriodico	 	2018		Contrast-enhanced Ocular Ultrasonography in Brachycephalic Dogs	ACTA SCIENTIAE VETERINARIAE (ONLINE)	ABREU, T. G. M. ; FELICIANO, MAR ; MARONEZI, M. C. ; USCATEGUI, RICARDO ; MADRUGA, G. M. ; KOBASHIGAWA, K. K. ; CRIVELARO, ROBERTA M. ; THIESEN, Roberto ; LAUS, J. L.		
artigoEmPeriodico	 	2018		LIVROS DE MONTEIRO LOBATO ENQUANTO ARTEFATO PEDAGÓGICO NO ENSINO DE CIÊNCIAS	VIVÊNCIAS (URI. ERECHIM)	ARAUJO, S. C. ; SILVA, F. F. ; MARINHO, J. C. B.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1590/s2175-97902018000100188	Evaluation of the influence of fluoroquinolone chemical structure on stability: forced degradation and in silico studies	Brazilian Journal of Pharmaceutical Sciences	BAIRROS, A. V. ; PEREIRA, D. B. ; CORDEIRO, E. W. F. ; PAIM, C. S. ; SILVA, F. E. B. ; MALESUIK, M. D. ; Fávero Reisdorfer Paula		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1016/j.ejps.2018.04.019	Coumestrol/hydroxypropyl-β-cyclodextrin association incorporated in hydroxypropyl methylcellulose hydrogel exhibits wound healing effect: in vitro and in vivo study	EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES	BIANCHI, SARA E. ; MACHADO, BARBARA E.K. ; DA SILVA, MARÍLIA G.C. ; DA SILVA, MICHELLE M.A. ; BOSCO, Lidiane Dal ; MARQUES, MAGNO S. ; HORN, ANA P. ; PERSICH, LARA ; GELLER, FABIANA C. ; ARGENTA, DÉBORA ; TEIXEIRA, HELDER F. ; SIMÕES, CLÁUDIA M.O. ; DORA, CRISTIANA L. ; BASSANI, VALQUÍRIA L.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.3390/biology7010015	Sex Steroid-Mediated Control of Oviductal Function in Cattle	BIOLOGY	BINELLI, MARIO ; GONELLA-DIAZA, ANGELA ; MESQUITA, FERNANDO ; MEMBRIVE, CLAUDIA		
artigoEmPeriodico	 	2018		Aplicabilidade da avaliação de saúde da pessoa idosa preconizada pelo Ministério da Saúde: relato de experiência	REVISTA ELETRÔNICA ACERVO EM SAÚDE	BITTENCOURT, C. M. ; LIMA, G. L. ; SILVA, V. A. M. ; TIER, C. G. ; VASQUEZ, M. E. D. ; SCHMIDT, A.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1016/j.tox.2018.02.002	Evaluation of the treatment with resveratrol-loaded nanoparticles in intestinal injury model caused by ischemia and reperfusion	TOXICOLOGY	BORGES, STEPHANIE CARVALHO ; FERREIRA, PAULO EMÍLIO BOTURA ; DA SILVA, LUISA MOTA ; DE PAULA WERNER, MARIA FERNANDA ; IRACHE, JUAN MANUEL ; CAVALCANTI, OSVALDO ALBUQUERQUE ; BUTTOW, NILZA CRISTINA		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1097/ico.0000000000001533	Reduction in Histone H3 Acetylation and Chromatin Remodeling in Corneas of Alloxan-Induced Diabetic Rats	CORNEA	BUENO, K. E. H. ; ALDROVANI, M. ; CRIVELARO, R. M. ; Thiesen, R. ; BARROS SOBRINHO, A. A. F. ; CHACALTANA, F. D. Y. C. ; PADUA, I. R. M. ; SANTOS, D. M. ; LAUS, J. L.		
artigoEmPeriodico	 	2018		Ações de trabalho dos profissionais de enfermagem no cuidado hospitalar à parturiente	EVIDENTIA (GRANADA)	CARDOSO, Leticia Silveira; VASQUEZ, M. E. D. ; TRINDADE, C. D. ; RIBEIRO, Juliane Portella ; ROSA, L. S. ; CEZAR-VAZ, Marta Regina		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1590/s1806-37562017000000213	Nontuberculous mycobacterial lung disease in a high tuberculosis incidence setting in Brazil	Jornal Brasileiro de Pneumologia (Online)	CARNEIRO, M. ; De David, S. ; Claudia Dias ; BARTH, A. L. ; NUNES, L. S. ; Gisela Unis		
