Wesley;;;;
0, http://lattes.cnpq.br/0473681435809042;;;; ok
1, http://lattes.cnpq.br/0945382220038723;;;; ok
2, http://lattes.cnpq.br/0527775082585913;;;; ok
3, http://lattes.cnpq.br/5465578896737143;;;; ok
4, http://lattes.cnpq.br/9365069870272242;;;; ok
5, http://lattes.cnpq.br/8280027528821559;;;; ok
6, http://lattes.cnpq.br/4297260102377031;;;; ok
7, http://lattes.cnpq.br/9436487230121608;;;; ok
8, http://lattes.cnpq.br/5054903220250339;;;; ok
9, http://lattes.cnpq.br/3080414309796385;;;; ok
10, http://lattes.cnpq.br/5698478368912787;;;; ok
11, http://lattes.cnpq.br/3488358978951622;;;; ok
12, http://lattes.cnpq.br/7894853383109682;;;; ok
13, http://lattes.cnpq.br/7263325437834001;;;; ok
14, http://lattes.cnpq.br/1039578227394206;;;; ok
15, http://lattes.cnpq.br/3289557948187134;;;; ok
16, http://lattes.cnpq.br/0047274636775859;;;; ok
17, http://lattes.cnpq.br/7729148983836692;;;; ok
18, http://lattes.cnpq.br/3006889738861726;;;; ok
19, http://lattes.cnpq.br/1642728904660751;;;; ok
20, http://lattes.cnpq.br/2680182934751808;;;; ok
21, http://lattes.cnpq.br/9300090274623517;;;; ok
22, http://lattes.cnpq.br/8192273903900777;;;; ok
23, http://lattes.cnpq.br/1887646413957746;;;; ok
24, http://lattes.cnpq.br/9474062270578041;;;; ok
25, http://lattes.cnpq.br/6283719909074304;;;; ok
26, http://lattes.cnpq.br/5400708933813339;;;; ok
27, http://lattes.cnpq.br/5133331455842344;;;; ok
28, http://lattes.cnpq.br/0147193667632049;;;; ok
29, http://lattes.cnpq.br/8519904598953344;;;; ok
30, http://lattes.cnpq.br/3971640516477035;;;; ok
31, http://lattes.cnpq.br/5805841991374556;;;; ok
32, http://lattes.cnpq.br/0120736228044122;;;; ok
33, http://lattes.cnpq.br/7528612885865102;;;; ok
34, http://lattes.cnpq.br/1687582353682831;;;; ok
35, http://lattes.cnpq.br/4355211015887363;;;; ok
36, http://lattes.cnpq.br/5903230708776294;;;; ok
37, http://lattes.cnpq.br/0608415543843353;;;; ok
38, http://lattes.cnpq.br/7161639654325086;;;; ok
39, http://lattes.cnpq.br/9089314082593115;;;; ok
40, http://lattes.cnpq.br/0731595522786356;;;; ok
41, http://lattes.cnpq.br/2834249723527323;;;; ok
42, http://lattes.cnpq.br/8253689558366590;;;; ok
43, http://lattes.cnpq.br/0730168701730122;;;; ok
44, http://lattes.cnpq.br/2149739236717278;;;; ok
45, http://lattes.cnpq.br/5625811036384501;;;; ok
46, http://lattes.cnpq.br/1274611347204473;;;; ok
47, http://lattes.cnpq.br/1814676097078820;;;; ok
48, http://lattes.cnpq.br/2760002240063004;;;; ok
49, http://lattes.cnpq.br/7336897624367746;;;; ok
50, http://lattes.cnpq.br/9733812300029971;;;; ok
51, http://lattes.cnpq.br/4273636582098573;;;; ok
52, http://lattes.cnpq.br/4480938481569672;;;; ok
53, http://lattes.cnpq.br/6758699828667193;;;; ok
54, http://lattes.cnpq.br/3992443023418750;;;; ok
55, http://lattes.cnpq.br/8442280124362170;;;;
Sandro;;;;
56, http://lattes.cnpq.br/5421615151521751 OK;;;;
57, http://lattes.cnpq.br/7670823136210400 OK;;;;
58, http://lattes.cnpq.br/7726296810653967 OK;;;;
59, http://lattes.cnpq.br/6245590571161550 OK;;;;
60, http://lattes.cnpq.br/6430431415440980 OK;;;;
61, http://lattes.cnpq.br/6267332612865292 OK;;;;
62, http://lattes.cnpq.br/4455461576886254 OK;;;;
63, http://lattes.cnpq.br/4752530725363240 OK;;;;
64, http://lattes.cnpq.br/5910402149698767 OK;;;;
65, http://lattes.cnpq.br/9150737299779719 OK;;;;
66, http://lattes.cnpq.br/2227489875439617 OK;;;;
67, http://lattes.cnpq.br/3338405134728553 OK;;;;
68, http://lattes.cnpq.br/1934452177482144 OK;;;;
69, http://lattes.cnpq.br/0454207116065740 OK;;;;
70, http://lattes.cnpq.br/7751701952514459 OK;;;;
